#SampleID	Soil	Replica
Explo201	FH05_G	1
Explo202	FH05_G	2
Explo203	FH05_G	3
Explo204	FH05_G	4
Explo205	FH05_G	5
Explo206	FH05_E	1
Explo207	FH05_E	2
Explo208	FH05_E	3
Explo209	FH05_E	4
Explo210	FH05_E	5
Explo211	FH05_S	1
Explo212	FH05_S	2
Explo213	FH05_S	3
Explo214	FH05_S	4
Explo215	FH05_S	5
Explo216	FH06_G	1
Explo217	FH06_G	2
Explo218	FH06_G	3
Explo219	FH06_G	4
Explo220	FH06_G	5
Explo221	FH06_E	1
Explo222	FH06_E	2
Explo223	FH06_E	3
Explo224	FH06_E	4
Explo225	FH06_E	5
Explo226	FH06_S	1
Explo227	FH06_S	2
Explo228	FH06_S	3
Explo229	FH06_S	4
Explo230	FH06_S	5
Explo231	FH32_G	1
Explo232	FH32_G	2
Explo233	FH32_G	3
Explo234	FH32_G	4
Explo235	FH32_G	5
Explo236	FH32_E	1
Explo237	FH32_E	2
Explo238	FH32_E	3
Explo239	FH32_E	4
Explo240	FH32_E	5
Explo241	FH32_S	1
Explo242	FH32_S	2
Explo243	FH32_S	3
Explo244	FH32_S	4
Explo245	FH32_S	5
Explo246	FS35_G	1
Explo247	FS35_G	2
Explo248	FS35_G	3
Explo249	FS35_G	4
Explo250	FS35_G	5
Explo251	FS35_E	1
Explo252	FS35_E	2
Explo253	FS35_E	3
Explo254	FS35_E	4
Explo255	FS35_E	5
Explo256	FS35_S	1
Explo257	FS35_S	2
Explo258	FS35_S	3
Explo259	FS35_S	4
Explo260	FS35_S	5
Explo261	FS36_G	1
Explo262	FS36_G	2
Explo263	FS36_G	3
Explo264	FS36_G	4
Explo265	FS36_G	5
Explo266	FS36_E	1
Explo267	FS36_E	2
Explo268	FS36_E	3
Explo269	FS36_E	4
Explo270	FS36_E	5
Explo271	FS36_S	1
Explo272	FS36_S	2
Explo273	FS36_S	3
Explo274	FS36_S	4
Explo275	FS36_S	5
Explo276	FS49_G	1
Explo277	FS49_G	2
Explo278	FS49_G	3
Explo279	FS49_G	4
Explo280	FS49_G	5
Explo281	FS49_E	1
Explo282	FS49_E	2
Explo283	FS49_E	3
Explo284	FS49_E	4
Explo285	FS49_E	5
Explo286	FS49_S	1
Explo287	FS49_S	2
Explo288	FS49_S	3
Explo289	FS49_S	4
Explo290	FS49_S	5
Explo291	FA22_G	1
Explo292	FA22_G	2
Explo293	FA22_G	3
Explo294	FA22_G	4
Explo295	FA22_G	5
Explo296	FA22_E	1
Explo297	FA22_E	2
Explo298	FA22_E	3
Explo299	FA22_E	4
Explo300	FA22_E	5
Explo301	FA22_S	1
Explo302	FA22_S	2
Explo303	FA22_S	3
Explo304	FA22_S	4
Explo305	FA22_S	5
Explo306	FA39_G	1
Explo307	FA39_G	2
Explo308	FA39_G	3
Explo309	FA39_G	4
Explo310	FA39_G	5
Explo311	FA39_E	1
Explo312	FA39_E	2
Explo313	FA39_E	3
Explo314	FA39_E	4
Explo315	FA39_E	5
Explo316	FA39_S	1
Explo317	FA39_S	2
Explo318	FA39_S	3
Explo319	FA39_S	4
Explo320	FA39_S	5
Explo321	FA42_G	1
Explo322	FA42_G	2
Explo323	FA42_G	3
Explo324	FA42_G	4
Explo325	FA42_G	5
Explo326	FA42_E	1
Explo327	FA42_E	2
Explo328	FA42_E	3
Explo329	FA42_E	4
Explo330	FA42_E	5
Explo331	FA42_S	1
Explo332	FA42_S	2
Explo333	FA42_S	3
Explo334	FA42_S	4
Explo335	FA42_S	5
